Name,Phone,Email,State,Response,Coverage,Education,EmploymentStatus,Gender,Income,Marital Status,Sales Channel,Vehicle Class,Vehicle Size,Age,VehiclePrice,Clusters,Product Name,Age of Vehicle
Test,Test,test@gmail.com,Washington,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,27,less than 20000,1,Sedan - Liability,New
Test,9898989898,test@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,30000 to 39000,1,Sedan - Liability,New
Test,9898989898,test@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,30000 to 39000,1,Sedan - Liability,New
Test,9898989898,test@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,30000 to 39000,1,Sedan - Liability,New
Test,9898989898,test@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,30000 to 39000,1,Sedan - Liability,New
mac,897878988,test1@gmail.com,California,Yes,Extended,Master,Employed,Female,50000,Married,Agent,SUV,Large,36,60000 to 69000,2,Sport - All Perils,New
Charan,07986272559,g@gmail.com,Washington,Yes,Basic,Bachelor,Employed,Male,66543,Married,Agent,SUV,Large,27,60000 to 69000,1,Utility - All Perils,2 Years
Rehan,7676767676,a@gmail.com,Washington,Yes,Extended,Bachelor,Employed,Male,44555,Married,Agent,Two-Door Car,Small,28,less than 20000,2,Sedan - Liability,New
Animesh,6767676767,animesh@gmail.com,Nevada,Yes,Basic,Bachelor,Employed,Male,55555,Married,Agent,Two-Door Car,Medium Size,26,30000 to 39000,1,Sport - All Perils,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
Test,9080909090,g@gmail.com,Arizona,Yes,Basic,Bachelor,Employed,Male,34555,Married,Branch,Two-Door Car,Small,32,30000 to 39000,1,Sport - Collision,3 Years
resubmission,07986272559,test@gmail.com,Washington,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,44,less than 20000,0,Sedan - Liability,New
Harsha,8787878787,c@gmail.com,Nevada,Yes,Basic,Bachelor,Employed,Male,66543,Married,Web,Two-Door Car,Small,23,60000 to 69000,2,Sedan - Liability,2 Years
Charan,7676767676,a@gmail.com,Washington,No,Premium,High School or Below,Medical Leave,Female,0,Single,Web,Sports Car,Large,33,more than 69000,0,Utility - All Perils,4 Years
ABCD,454545454,a@gmail.com,Arizona,No,Extended,Master,Employed,Male,65555,Married,Agent,SUV,Medium Size,34,40000 to 59000,1,Sport - Collision,4 Years
Sourav,6565656565,c@gmail.com,Washington,Yes,Basic,Bachelor,Employed,Male,67677,Married,Agent,Two-Door Car,Small,26,less than 20000,1,Sedan - Liability,New
Shukla,57575757,sw@gmail.com,Arizona,Yes,Premium,Bachelor,Employed,Male,43445,Married,Agent,Two-Door Car,Small,27,less than 20000,1,Sedan - Liability,5 Years
Shukla,57575757,sw@gmail.com,Arizona,Yes,Premium,Bachelor,Employed,Male,43445,Married,Agent,Two-Door Car,Small,27,less than 20000,1,Sedan - Liability,5 Years
Shukla,57575757,sw@gmail.com,Arizona,Yes,Premium,Bachelor,Employed,Male,43445,Married,Agent,Two-Door Car,Small,27,less than 20000,1,Sedan - Liability,5 Years
Shukla,57575757,sw@gmail.com,Arizona,Yes,Premium,Bachelor,Employed,Male,43445,Married,Agent,Two-Door Car,Small,27,less than 20000,1,Sedan - Liability,5 Years
Charan Harsha D S V,07986272559,test@gmail.com,Washington,Yes,Basic,Bachelor,Employed,Male,456778,Married,Agent,Two-Door Car,Small,27,less than 20000,1,Sedan - Liability,more than 7
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
Camera man,98989898989,v@gmail.com,California,Yes,Basic,Bachelor,Employed,Male,34555,Married,Agent,Two-Door Car,Small,32,less than 20000,1,Sedan - Liability,New
