Username,Password
CX0000,CX0000
CX0001,CX0001
CX0002,CX0002
CX0003,CX0003
CX0005,CX0005
CX0006,CX0006
CX0007,CX0007
CX0008,CX0008
CX0009,CX0009
CX00010,CX00010
CX00011,CX00011
CX00012,CX00012
CX00013,CX00013
CX00014,CX00014
CX00015,CX00015
CX00016,CX00016
CX00017,CX00017
CX00018,CX00018
CX00019,CX00019
CX0008,CX0008
CX0009,CX0009
CX00010,CX00010
CX00011,CX00011
CX00012,CX00012
CX00013,CX00013
CX00014,CX00014
CX00015,CX00015
CX00016,CX00016
CX00017,CX00017
CX00018,CX00018
CX00020,CX00020
CX00022,CX00022
CX00023,CX00023
CX00024,CX00024
CX00025,CX00025
CX00026,CX00026
CX00027,CX00027
CX00028,CX00028
CX00029,CX00029
CX00030,CX00030
CX00031,CX00031
